"","external_gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_gene_id","description","chromosome_name","start_position","end_position","strand","gene_biotype"
"11","Lncpint",8.42684973210543,2.87520938756271,0.983157202488339,2.9244655689707,0.00345048249247184,0.0332252710004268,"ENSMUSG00000044471","long non-protein coding RNA, Trp53 induced transcript [Source:MGI Symbol;Acc:MGI:2673128]","6",31082565,31220488,-1,"lincRNA"
"12","Gimap1os",40.753843593684,-4.23237394563791,1.10265873523895,-3.83833529847361,0.000123871258847171,0.00279600865544108,"ENSMUSG00000044867","GTPase, IMAP family member 1, opposite strand [Source:MGI Symbol;Acc:MGI:3781523]","6",48738346,48741444,-1,"processed_transcript"
"13","BC106179",76.7949890634696,-3.92320794965337,0.871390148930107,-4.50224041948407,6.72408556393418e-06,0.000250634866745998,"ENSMUSG00000045231","cDNA sequence BC106179 [Source:MGI Symbol;Acc:MGI:3702726]","16",23220656,23225484,-1,"processed_transcript"
"14","1700120B22Rik",234.666050236524,-0.641565835006748,0.249893173122282,-2.56736039240578,0.010247604475309,0.0690443555173152,"ENSMUSG00000045391","RIKEN cDNA 1700120B22 gene [Source:MGI Symbol;Acc:MGI:3604190]","10",63243068,63244153,-1,"bidirectional_promoter_lncRNA"
"15","Irx3os",851.804559323686,-1.12525316378623,0.394496704832811,-2.8523765851558,0.00433936589309718,0.0384225079653164,"ENSMUSG00000046413","iroquois homeobox 3,  opposite strand [Source:MGI Symbol;Acc:MGI:2441953]","8",91800415,91807539,1,"antisense"
"16","Gm9869",22.52644278299,2.49975254820562,0.826988176923873,3.02271860464062,0.00250515071384506,0.0253921197355085,"ENSMUSG00000052143","predicted gene 9869 [Source:MGI Symbol;Acc:MGI:3642719]","9",60821552,60838200,-1,"antisense"
"17","Gm9899",13.125051575392,-2.78092619974618,1.06081421408586,-2.62150163791179,0.00875433416545655,0.0613904851679986,"ENSMUSG00000053214","predicted gene 9899 [Source:MGI Symbol;Acc:MGI:3708711]","5",30573987,30588619,-1,"processed_transcript"
"18","4930597O21Rik",504.465519857348,1.58584148208753,0.470589764539595,3.36990219844465,0.000751948668789041,0.01056116224279,"ENSMUSG00000053442","RIKEN cDNA 4930597O21 gene [Source:MGI Symbol;Acc:MGI:1922623]","6",66894652,66896521,-1,"processed_transcript"
"19","Gm9913",17.7950366823738,-2.90485859520787,0.926141901638792,-3.1365156787181,0.00170968295174988,0.0193680259877155,"ENSMUSG00000053615","predicted gene 9913 [Source:MGI Symbol;Acc:MGI:3642395]","2",125505089,125507881,1,"antisense"
"20","Gm9920",181.128931069158,-1.48892189293127,0.426313953648171,-3.49254787508093,0.000478435823585394,0.00778637456553413,"ENSMUSG00000053749","predicted gene 9920 [Source:MGI Symbol;Acc:MGI:3642228]","15",55099917,55113677,-1,"processed_transcript"
"21","Gm9947",39.9633733446177,2.25356874787319,0.800931895935373,2.81368335973353,0.00489774451734302,0.0415902772076053,"ENSMUSG00000054493","predicted gene 9947 [Source:MGI Symbol;Acc:MGI:3642739]","1",14752937,14776931,1,"antisense"
"22","Gm4876",679.432423260298,-1.46460678722276,0.230240689933008,-6.36119874227665,2.00185221373147e-10,3.08418697728895e-08,"ENSMUSG00000054556","predicted gene 4876 [Source:MGI Symbol;Acc:MGI:3647654]","6",17065010,17171833,-1,"antisense"
"23","4931415C17Rik",1.72153963538567,4.3656234473546,1.5992635301579,2.72977115092693,0.00633783048372563,0.0496499194843727,"ENSMUSG00000054910","RIKEN cDNA 4931415C17 gene [Source:MGI Symbol;Acc:MGI:1918216]","8",12672186,12679229,1,"processed_transcript"
"24","9130017K11Rik",31.3694351602248,-1.71399018513275,0.643431090804886,-2.66382866732267,0.00772569003089202,0.0565002204474413,"ENSMUSG00000055134","RIKEN cDNA 9130017K11 gene [Source:MGI Symbol;Acc:MGI:1926030]","11",67921504,67947659,1,"processed_transcript"
"25","A230083G16Rik",38.9087695894927,-1.32738753175087,0.488296803722157,-2.71840307295183,0.00655978721361576,0.0503928793248108,"ENSMUSG00000055818","RIKEN cDNA A230083G16 gene [Source:MGI Symbol;Acc:MGI:3045289]","6",124916863,124925844,1,"antisense"
"26","Gm10030",8.72042001303803,3.18425259063083,1.21488272571361,2.6210370130668,0.00876627438573757,0.0613904851679986,"ENSMUSG00000057802","predicted gene 10030 [Source:MGI Symbol;Acc:MGI:3641798]","9",110989499,111008029,1,"processed_transcript"
"27","Gm10032",2.74868470717425,-4.79391839413081,1.20053394184149,-3.99315523455959,6.51998527583661e-05,0.00169879653622016,"ENSMUSG00000057913","predicted gene 10032 [Source:MGI Symbol;Acc:MGI:3642901]","14",66784480,66793758,1,"lincRNA"
"28","0610039K10Rik",2820.88503879118,0.365233395139402,0.128407920914588,2.84432138249743,0.00445061316137334,0.0389597235452038,"ENSMUSG00000058812","RIKEN cDNA 0610039K10 gene [Source:MGI Symbol;Acc:MGI:1915636]","2",163644850,163645801,1,"antisense"
"29","C030014I23Rik",24.7254848723386,2.16678674638886,0.500432297455852,4.32982994383975,1.49224533325352e-05,0.000478969300715124,"ENSMUSG00000060380","RIKEN cDNA C030014I23 gene [Source:MGI Symbol;Acc:MGI:1924631]","9",44468344,44482180,1,"lincRNA"
"30","Gm10143",553.292222021099,-1.10570164786636,0.302621124600497,-3.65374905445232,0.000258438864699561,0.00481706631502485,"ENSMUSG00000064032","predicted gene 10143 [Source:MGI Symbol;Acc:MGI:3704492]","19",10198368,10202384,1,"antisense"
"31","Gm1976",11.6144985108421,-2.95862298639993,0.859148451414619,-3.44366911390977,0.000573877566392692,0.00908377435570899,"ENSMUSG00000066057","predicted gene 1976 [Source:MGI Symbol;Acc:MGI:3780145]","17",94759944,94834799,-1,"processed_transcript"
"32","Gm17080",354.522843618435,0.892179545837319,0.323926173866956,2.75426815680463,0.00588235498722362,0.047572051922985,"ENSMUSG00000067389","predicted gene 17080 [Source:MGI Symbol;Acc:MGI:4937907]","17",45586120,45588377,1,"antisense"
"33","Gm6994",8.08680536105811,-3.56957397656508,1.11816672327119,-3.19234502536644,0.0014112265087704,0.0170751018940753,"ENSMUSG00000067973","predicted gene 6994 [Source:MGI Symbol;Acc:MGI:3647788]","14",77479483,77506868,-1,"antisense"
"34","Gm10244",293.937807618616,-0.630056355983512,0.186263444603775,-3.38260874174096,0.000718008458204769,0.0103063201671504,"ENSMUSG00000068601","predicted gene 10244 [Source:MGI Symbol;Acc:MGI:3642504]","6",39419887,39421294,1,"antisense"
"35","Fzd10os",15.4048354952352,2.28010857212991,0.872989052599778,2.61184096792474,0.00900561352641012,0.0628279888161257,"ENSMUSG00000072591","frizzled class receptor 10, opposite strand [Source:MGI Symbol;Acc:MGI:2442398]","5",128579106,128600693,-1,"lincRNA"
"36","5031425E22Rik",101.258365545796,-1.16510960006986,0.34060859178163,-3.42067002472103,0.000624670748370292,0.00949746118081411,"ENSMUSG00000073147","RIKEN cDNA 5031425E22 gene [Source:MGI Symbol;Acc:MGI:1923227]","5",23382308,23434269,-1,"lincRNA"
"37","2500004C02Rik",91.343720223532,-1.01158430140916,0.424293199461241,-2.38416336319708,0.0171180015071514,0.0986526221521867,"ENSMUSG00000073236","RIKEN cDNA 2500004C02 gene [Source:MGI Symbol;Acc:MGI:1919576]","2",153341157,153346073,-1,"processed_transcript"
"38","F830208F22Rik",57.3967450553692,-2.09349757681668,0.578004566730108,-3.62193950933646,0.000292402504246873,0.00536303323265495,"ENSMUSG00000073529","RIKEN cDNA F830208F22 gene [Source:MGI Symbol;Acc:MGI:3588261]","18",77793259,77796743,-1,"processed_transcript"
"39","Gm10545",26.9574786436865,-1.8114466443625,0.711050085967371,-2.54756546706278,0.0108477497035017,0.0715468215861047,"ENSMUSG00000073594","predicted gene 10545 [Source:MGI Symbol;Acc:MGI:3704485]","18",37008868,37020679,-1,"antisense"
"40","Apol7d",514.656711290528,2.5075049289962,0.985160969177378,2.54527433327977,0.010919191620412,0.0715468215861047,"ENSMUSG00000073652","apolipoprotein L 7d [Source:MGI Symbol;Acc:MGI:3723449]","1",71652837,71662843,1,"antisense"
"41","Mxra8os",9.15445153226861,3.83676234386026,1.36171534470444,2.81759499794212,0.00483847989051728,0.0412609853394296,"ENSMUSG00000073679","matrix-remodelling associated 8, opposite strand [Source:MGI Symbol;Acc:MGI:3704241]","4",155839492,155840178,-1,"antisense"
"42","Gm16287",9.48725135798112,-4.41786126230075,1.34436531472335,-3.28620592477118,0.00101546743941923,0.0133585621797541,"ENSMUSG00000073739","predicted gene 16287 [Source:MGI Symbol;Acc:MGI:3650322]","4",139175405,139180655,-1,"antisense"
"43","Gm10570",7.83233603852722,-5.22351903339687,1.5451513810453,-3.38058723402437,0.000723311109048267,0.0103183455124108,"ENSMUSG00000073752","predicted gene 10570 [Source:MGI Symbol;Acc:MGI:3642427]","4",130306556,130308674,-1,"antisense"
"44","Faddos",131.077438052237,0.828258012745917,0.2414688607366,3.43008208271376,0.000603398685253157,0.00929636241080031,"ENSMUSG00000073778","Fas (TNFRSF6)-associated via death domain, opposite strand [Source:MGI Symbol;Acc:MGI:3642460]","7",144567355,144581512,1,"antisense"
"45","8030451A03Rik",51.9057303987729,-3.01789688342045,1.06542261986414,-2.83258195119349,0.0046173728669675,0.0401155965998568,"ENSMUSG00000073821","RIKEN cDNA 8030451A03 gene [Source:MGI Symbol;Acc:MGI:1915353]","4",63979854,64149924,1,"processed_transcript"
"46","4930513N10Rik",350.51637273301,-0.799133338477099,0.23296004658295,-3.43034503211499,0.000602814193275587,0.00929636241080031,"ENSMUSG00000074136","RIKEN cDNA 4930513N10 gene [Source:MGI Symbol;Acc:MGI:2443064]","8",95806744,95821728,1,"antisense"
"47","Gm10634",243.421023726881,-0.819015529997223,0.227395690307775,-3.60171966710849,0.000316119147059634,0.00570743241292824,"ENSMUSG00000074149","predicted gene 10634 [Source:MGI Symbol;Acc:MGI:3641833]","9",88719629,88806264,1,"antisense"
"48","Gm10638",30.4137606435093,-2.6908499656116,0.495166590138547,-5.4342316691009,5.50330430592315e-08,4.61738394754497e-06,"ENSMUSG00000074178","predicted gene 10638 [Source:MGI Symbol;Acc:MGI:3704316]","8",86745453,86748655,1,"antisense"
"49","Gm10644",243.569436387626,-1.11611731169704,0.415229880876441,-2.68795036942238,0.00718920811724184,0.0532508332017496,"ENSMUSG00000074219","predicted gene 10644 [Source:MGI Symbol;Acc:MGI:3704314]","8",83932329,83955343,-1,"bidirectional_promoter_lncRNA"
"50","AA386476",7.63894385261781,-2.08289000605862,0.87509168177939,-2.38019632619902,0.0173034164139612,0.0987362847720109,"ENSMUSG00000074357","expressed sequence AA386476 [Source:MGI Symbol;Acc:MGI:3034595]","8",47675391,47685239,1,"bidirectional_promoter_lncRNA"
"51","Gm10684",8.43873193584463,-2.69965801396281,1.09001632458562,-2.47671337857175,0.0132598338263522,0.0821540910796243,"ENSMUSG00000074385","predicted gene 10684 [Source:MGI Symbol;Acc:MGI:3641851]","9",45107176,45135606,-1,"lincRNA"
"52","Gm15441",6582.76185609509,1.22525090866703,0.396536194587112,3.08988416541094,0.00200234570409841,0.0214232450100529,"ENSMUSG00000074398","predicted gene 15441 [Source:MGI Symbol;Acc:MGI:3641753]","3",96555765,96566801,-1,"antisense"
"53","Gm15417",14.5632230414511,-1.79635210955353,0.719316649058209,-2.49730367273644,0.0125141739072759,0.0792424957199013,"ENSMUSG00000074466","predicted gene 15417 [Source:MGI Symbol;Acc:MGI:3642531]","3",89391850,89398779,1,"antisense"
"54","Gm10710",6.3490484029279,3.63282132297018,1.47534206133411,2.46235867476395,0.0138026557337922,0.0841760248152055,"ENSMUSG00000074517","predicted gene 10710 [Source:MGI Symbol;Acc:MGI:3642896]","3",83125276,83129246,-1,"lincRNA"
"55","Gm14092",4.86263992659602,-4.35546219240947,1.42457221913963,-3.05738251377663,0.00223279149075162,0.0232733012225392,"ENSMUSG00000074753","predicted gene 14092 [Source:MGI Symbol;Acc:MGI:3651965]","2",145550652,145554982,-1,"antisense"
"56","AW112010",11.5400923674786,3.13299077631962,0.693741818038244,4.51607600242271,6.29960625756055e-06,0.000242639834353707,"ENSMUSG00000075010","expressed sequence AW112010 [Source:MGI Symbol;Acc:MGI:2147706]","19",11047612,11055808,-1,"lincRNA"
"57","Gm10804",134.870630897735,0.74162728473397,0.302313999423542,2.45316884480414,0.0141603854603173,0.0854429524772669,"ENSMUSG00000075025","predicted gene 10804 [Source:MGI Symbol;Acc:MGI:3641755]","2",93452819,93469871,1,"lincRNA"
"58","Haglr",3.1448352318478,4.92068765385673,1.83382373164129,2.68329369336532,0.00729009385760591,0.0538255811659018,"ENSMUSG00000075277","Hoxd antisense growth associated long non-coding RNA [Source:MGI Symbol;Acc:MGI:3026978]","2",74748422,74762896,-1,"bidirectional_promoter_lncRNA"
"59","F630028O10Rik",2.53805019688306,-3.99481337459037,1.64898518156838,-2.42258900761669,0.0154103501265403,0.0908724836904777,"ENSMUSG00000078122","RIKEN cDNA F630028O10 gene [Source:MGI Symbol;Acc:MGI:3641813]","X",96239926,96243636,1,"antisense"
"60","Gm17106",179.13097603081,0.581380416983373,0.204249437007259,2.84642359607929,0.00442133377277196,0.0388505792732928,"ENSMUSG00000078489","predicted gene 17106 [Source:MGI Symbol;Acc:MGI:4937933]","16",32985854,33108601,-1,"processed_transcript"
"61","Prox1os",41.8239199606208,-2.40231188578915,0.610056259671024,-3.93785302208784,8.22139251754794e-05,0.00197912896958888,"ENSMUSG00000079045","prospero homeobox 1, opposite strand [Source:MGI Symbol;Acc:MGI:4937200]","1",190170296,190217276,1,"antisense"
"62","Gm14966",50.2647911699591,-2.37638706077877,0.468049341672554,-5.07721483441652,3.83007725581999e-07,2.45869681616667e-05,"ENSMUSG00000079467","predicted gene 14966 [Source:MGI Symbol;Acc:MGI:3705223]","19",6355522,6363759,-1,"antisense"
"63","Gm15821",1185.76116643796,1.81359117170561,0.292625485344237,6.19765284480314,5.73113745979643e-10,7.35814370532753e-08,"ENSMUSG00000081512","predicted gene 15821 [Source:MGI Symbol;Acc:MGI:3801940]","17",34211312,34214459,-1,"macro_lncRNA"
"64","D930015M05Rik",202.102453355391,0.828605309178549,0.295597950428851,2.80314971053221,0.00506061720994741,0.04268279697879,"ENSMUSG00000084781","RIKEN cDNA D930015M05 gene [Source:MGI Symbol;Acc:MGI:3612068]","2",92408892,92432308,1,"processed_transcript"
"65","Gm15419",78.106956541451,3.97240289205705,1.06712972101336,3.72251171889844,0.00019725075073711,0.00389612380302104,"ENSMUSG00000084783","predicted gene 15419 [Source:MGI Symbol;Acc:MGI:3705320]","8",11399186,11417892,-1,"antisense"
"66","Gm15879",745.146804360797,-5.67890523747644,1.64291167594108,-3.45661018826438,0.000547015516278664,0.00877883929249995,"ENSMUSG00000084790","predicted gene 15879 [Source:MGI Symbol;Acc:MGI:3802012]","16",4032839,4037847,-1,"antisense"
"67","9430091E24Rik",91.0548513972187,1.0014464440592,0.319243081220869,3.136940165561,0.00170720963838278,0.0193680259877155,"ENSMUSG00000084808","RIKEN cDNA 9430091E24 gene [Source:MGI Symbol;Acc:MGI:1924618]","8",111128886,111145480,-1,"processed_transcript"
"68","Gm12352",404.959923272762,0.535659511294248,0.218266821782008,2.45414995701561,0.0141218077962193,0.0854332403588034,"ENSMUSG00000084835","predicted gene 12352 [Source:MGI Symbol;Acc:MGI:3705172]","11",98438037,98439046,1,"antisense"
"69","Gm13063",152.013247653645,-1.72754851529662,0.376953027474416,-4.58292781695161,4.58510351051505e-06,0.00017959617309831,"ENSMUSG00000084869","predicted gene 13063 [Source:MGI Symbol;Acc:MGI:3649474]","4",132048178,132048961,1,"lincRNA"
"70","Gm12289",5.16837145243861,-2.98352306996943,1.02128445184283,-2.9213438671135,0.00348524916750724,0.0332826893640878,"ENSMUSG00000084884","predicted gene 12289 [Source:MGI Symbol;Acc:MGI:3649419]","11",64012615,64015224,1,"antisense"
"71","C79798",9.27042452388109,-4.56857782512168,1.21837683026818,-3.74972480732096,0.000177028734068612,0.00355750786463097,"ENSMUSG00000084908","expressed sequence C79798 [Source:MGI Symbol;Acc:MGI:2139494]","2",34287771,34304440,1,"antisense"
"72","Gm16185",425.257268626924,1.13840512876729,0.391177887803725,2.91019805633413,0.00361199785890163,0.0340707226609047,"ENSMUSG00000084911","predicted gene 16185 [Source:MGI Symbol;Acc:MGI:3802169]","9",97085326,97088610,1,"antisense"
"73","Gm12743",9.72938261279961,-2.86420481529121,0.876509887106231,-3.26773817092616,0.00108410607565851,0.0138418184577173,"ENSMUSG00000084968","predicted gene 12743 [Source:MGI Symbol;Acc:MGI:3651449]","4",108592425,108619849,-1,"processed_transcript"
"74","1700060J05Rik",163.289137633412,0.763297869914393,0.288475241051474,2.64597359250735,0.00814561751320902,0.0584612486739939,"ENSMUSG00000084970","RIKEN cDNA 1700060J05 gene [Source:MGI Symbol;Acc:MGI:1920641]","4",53562983,53564697,-1,"antisense"
"75","Gm15895",35.223582402748,-2.90525955072019,0.708909415111902,-4.09820985416253,4.16357721006334e-05,0.00117341791859224,"ENSMUSG00000085068","predicted gene 15895 [Source:MGI Symbol;Acc:MGI:3802071]","8",110805638,110807477,1,"antisense"
"76","Gm14066",5.90083497619137,3.99662124879784,1.28336225372566,3.11418014453476,0.00184456831462737,0.0203961596894921,"ENSMUSG00000085071","predicted gene 14066 [Source:MGI Symbol;Acc:MGI:3649728]","2",139256876,139677714,-1,"processed_transcript"
"77","Gm11615",944.909251340392,-3.52196677738155,0.50905381041211,-6.91865320589646,4.55957513373272e-12,9.5792528491421e-10,"ENSMUSG00000085083","predicted gene 11615 [Source:MGI Symbol;Acc:MGI:3652280]","11",101264762,101266303,-1,"antisense"
"78","4931413K12Rik",126.606441613125,-0.800612277063336,0.288120905884604,-2.77873719230909,0.00545706560356651,0.0450402807494365,"ENSMUSG00000085088","RIKEN cDNA 4931413K12 gene [Source:MGI Symbol;Acc:MGI:1918237]","11",75589665,75594771,-1,"processed_transcript"
"79","Arhgap15os",83.6741343761386,-3.21949459019536,1.05626895049837,-3.04798753071019,0.00230379486699515,0.0236625330561146,"ENSMUSG00000085089","Rho GTPase activating protein 15, opposite strand [Source:MGI Symbol;Acc:MGI:2444930]","2",44059238,44065324,-1,"antisense"
"80","Egfros",16.0840261889545,-3.91442663362545,1.10469210495302,-3.54345488310691,0.000394920876615863,0.00666176748802379,"ENSMUSG00000085091","epidermal growth factor receptor, opposite strand [Source:MGI Symbol;Acc:MGI:2443051]","11",16815431,16830702,-1,"antisense"
"81","Gm16000",135.533274197691,-1.52858084826148,0.36764271660939,-4.1577890141791,3.21342597974508e-05,0.00096444512197284,"ENSMUSG00000085106","predicted gene 16000 [Source:MGI Symbol;Acc:MGI:3801866]","3",81037408,81040437,-1,"antisense"
"82","5031425F14Rik",6.20369333488916,-3.54883975413222,1.37426613992042,-2.58235261063605,0.00981292673455256,0.0665034418872462,"ENSMUSG00000085129","RIKEN cDNA 5031425F14 gene [Source:MGI Symbol;Acc:MGI:2442533]","2",166447451,166459232,1,"lincRNA"
"83","C130046K22Rik",15.1990982700881,-2.52698475793318,0.879503182255205,-2.87319569606733,0.00406342326211366,0.0365391873881115,"ENSMUSG00000085154","RIKEN cDNA C130046K22 gene [Source:MGI Symbol;Acc:MGI:3026935]","11",103697724,103722832,1,"processed_transcript"
"84","Gm10785",107.354576554749,0.802918927739977,0.326630681393092,2.45818587621805,0.0139640878437262,0.0847008057922606,"ENSMUSG00000085169","predicted gene 10785 [Source:MGI Symbol;Acc:MGI:3642149]","16",91688898,91715642,1,"antisense"
"85","Gm11209",2.42319924174756,-4.3972041427632,1.78580808332471,-2.4623049832862,0.0138047223734154,0.0841760248152055,"ENSMUSG00000085177","predicted gene 11209 [Source:MGI Symbol;Acc:MGI:3650632]","4",62627677,62633712,-1,"antisense"
"86","Kdm6bos",683.606912197216,-0.913939886910106,0.286233357645457,-3.19298873628195,0.00140808438906848,0.0170751018940753,"ENSMUSG00000085178","KDM1 lysine (K)-specific demethylase 6B, opposite strand [Source:MGI Symbol;Acc:MGI:1921523]","11",69401513,69402700,1,"antisense"
"87","Gm14963",7.60509882070961,-3.95426070107652,1.2418307428129,-3.18421872220657,0.00145145295296802,0.0172998745055229,"ENSMUSG00000085196","predicted gene 14963 [Source:MGI Symbol;Acc:MGI:3705162]","19",6268795,6276605,-1,"lincRNA"
"88","B430219N15Rik",311.424567245335,0.798956415234514,0.224707984085625,3.55553194287068,0.000377215109074037,0.00650555311246343,"ENSMUSG00000085211","RIKEN cDNA B430219N15 gene [Source:MGI Symbol;Acc:MGI:3697426]","10",7780185,7781357,1,"antisense"
"89","Gm11713",14.2666373386831,-3.72308038137859,0.98688371730543,-3.77256237598491,0.000161579553597893,0.00339463953058845,"ENSMUSG00000085245","predicted gene 11713 [Source:MGI Symbol;Acc:MGI:3652139]","11",107410390,107413549,1,"antisense"
"90","4930545L23Rik",84.1383417896251,-1.63858907898313,0.530770493465857,-3.08718947107134,0.00202058760967183,0.0215187924698231,"ENSMUSG00000085247","RIKEN cDNA 4930545L23 gene [Source:MGI Symbol;Acc:MGI:1926055]","2",135169573,135215616,-1,"antisense"
"91","Gm16151",1.77742841851035,3.7750279719876,1.52482114874076,2.47571852941909,0.0132968360220424,0.0821630696442244,"ENSMUSG00000085280","predicted gene 16151 [Source:MGI Symbol;Acc:MGI:3801826]","1",38307902,38311930,1,"antisense"
"92","4833418N02Rik",13.273533465946,-2.10032904609653,0.843931772803145,-2.48874270857255,0.0128195702316499,0.0805055076232145,"ENSMUSG00000085287","RIKEN cDNA 4833418N02 gene [Source:MGI Symbol;Acc:MGI:1921847]","17",87274886,87282814,-1,"processed_transcript"
"93","Gm15337",39.1534118585483,-2.34340311443538,0.746433969496338,-3.13946472186496,0.00169256792826124,0.0193680259877155,"ENSMUSG00000085289","predicted gene 15337 [Source:MGI Symbol;Acc:MGI:3705103]","18",39367038,39389425,-1,"antisense"
"94","Gm11651",413.532482302112,4.42157317178741,0.673170224462066,6.56828393638581,5.08984180809174e-11,8.40187458464287e-09,"ENSMUSG00000085297","predicted gene 11651 [Source:MGI Symbol;Acc:MGI:3651203]","11",105965608,105985694,-1,"antisense"
"95","3010003L21Rik",166.502521276679,-1.7569311006959,0.30866622122339,-5.69200962039949,1.25552777930598e-08,1.30124280636875e-06,"ENSMUSG00000085355","RIKEN cDNA 3010003L21 gene [Source:MGI Symbol;Acc:MGI:1924094]","6",148944867,148947129,1,"antisense"
"96","Fhad1os1",2.02541359643119,3.28195485507192,1.32660313647725,2.47395378831008,0.0133626980180897,0.0823498536528138,"ENSMUSG00000085424","forkhead-associated (FHA) phosphopeptide binding domain 1, opposite strand 1 [Source:MGI Symbol;Acc:MGI:3649995]","4",141982992,141986797,1,"antisense"
"97","Gm11725",14.3365122041402,2.17035759208842,0.69649330806996,3.11612124185752,0.00183246914510616,0.020359789395867,"ENSMUSG00000085434","predicted gene 11725 [Source:MGI Symbol;Acc:MGI:3649385]","11",117871250,117887416,1,"antisense"
"98","Zfp335os",59.4823003934774,-1.31904992251935,0.425191386333789,-3.10224986891868,0.00192055775315539,0.0211352807978195,"ENSMUSG00000085436","zinc finger protein 335, opposite strand [Source:MGI Symbol;Acc:MGI:3649775]","2",164911354,164919953,1,"antisense"
"99","Rapgef4os1",8.30151263537428,-3.04862214822396,0.907644533815217,-3.3588283018786,0.0007827368398997,0.0108970170904109,"ENSMUSG00000085439","Rap guanine nucleotide exchange factor (GEF) 4, opposite strand 1 [Source:MGI Symbol;Acc:MGI:3649714]","2",72097603,72148796,-1,"antisense"
"100","1110046J04Rik",59.0466881534942,-1.5737359662374,0.609662980701101,-2.58132118244679,0.00984229655790532,0.0665074483781263,"ENSMUSG00000085457","RIKEN cDNA 1110046J04 gene [Source:MGI Symbol;Acc:MGI:1916058]","13",33935567,33960181,1,"antisense"
"101","Gm16796",71.4277702140147,-1.63294314947204,0.387557291786833,-4.21342388358468,2.5152837764181e-05,0.000764844843066083,"ENSMUSG00000085495","predicted gene, 16796 [Source:MGI Symbol;Acc:MGI:4439720]","2",170499357,170511927,-1,"antisense"
"102","Gm15713",42.2199503556524,1.6427155256341,0.572538139205531,2.86918095607321,0.00411536279308179,0.0368628039333799,"ENSMUSG00000085499","predicted gene 15713 [Source:MGI Symbol;Acc:MGI:3783155]","16",43410518,43420196,-1,"antisense"
"103","4930538E20Rik",17.6954502541159,-4.93355866734748,1.01101200379829,-4.87982204841535,1.06181603927143e-06,5.98501674818606e-05,"ENSMUSG00000085516","RIKEN cDNA 4930538E20 gene [Source:MGI Symbol;Acc:MGI:1925450]","11",24160528,24172824,-1,"antisense"
"104","Gm16083",31.3572188685836,1.62467957817477,0.590248962279096,2.75253271416435,0.00591362377105144,0.047572051922985,"ENSMUSG00000085526","predicted gene 16083 [Source:MGI Symbol;Acc:MGI:3802163]","1",130462576,130557075,1,"antisense"
